"Nivel_1_Setor","Nivel_2","Nivel_3","Nivel_4","Nivel_5","Nivel_6","Emissao_Remocao","Gas","Estado","Atividade_Economica","Produto","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Caatinga","em Área Protegida","Desmatamento","Floresta primária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,6881,314,654,804,273,115,3347,5874,12769,28121,46703,18037,6237,12562,11055,15452,9594,8770,21183,15715,13062,6753,10077,34376,9295,24712,15957,17638,3335
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Cerrado","em Área Protegida","Desmatamento","Floresta primária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62727,50785,61999,46343,74000,116124,56618,114466,126504,188119,217821,266715,324639,443546,495544,431486,198905,255009,410788,261467,225934,273747,630715,937823,610409,563045,498143,378845,447799,140714
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Mata Atlântica","em Área Protegida","Desmatamento","Floresta primária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34708,19576,19193,41721,46136,57950,44192,53515,50998,117553,103393,79911,102701,59393,54162,100407,67757,121668,65198,115589,94226,100898,135288,144890,138603,87180,75523,29919,89568,45230
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pampa","em Área Protegida","Desmatamento","Floresta primária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,32,195,1615,195,163,32,33,130,3834,1277,3635,3606,2523,2587,1375,3079,2588,426,3213,3342,2784,6584,5967,4225,1901,1474,361,4816,1899
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Amazônia","fora de Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103688,2425844,1017324,1060962,3170806,2130400,695405,660160,310124,136748,410245,83476,137194,524429,560112,109047,1318504,357987,225375,184146,82049,119464,100208,242444,1187113,95426,1484460,512652,3297,507333
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Caatinga","fora de Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5795,37420,1257,3529,4432,3675,3171,386,139,33,176,360,452,320,2813,5021,8011,7248,6361,2882,3394,2870,1415,7007,22865,2227,2167,1815,3,3474
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Cerrado","fora de Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9280508,17436539,1335586,2693849,4994844,3391613,3505495,1741001,1281139,1622725,925127,1287606,1736448,2104294,2099531,2490149,2567990,2681579,3849534,3227001,2565105,2610040,2739839,2123762,2001857,670849,1796104,840675,26418,1395990
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Mata Atlântica","fora de Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9431219,16713813,3092043,5114824,6179163,3473484,3319523,3350485,2905762,3457709,2542437,2414172,2849591,3739729,5333219,5883422,7241711,8034020,10807815,9196062,12234379,7994791,6656392,7940844,7331509,2021003,6217489,4101531,514437,5346419
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pampa","fora de Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074336,2032032,142202,748200,535208,262043,220944,273213,263811,304175,130484,157321,104133,98871,92494,102018,187982,339163,684599,441729,855902,467186,414606,306898,501123,76471,422830,153641,2969,204591
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pantanal","fora de Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3479,0,0,0,0,2897,607,0,0,0,0,0,0,0,0,166,0,415,0,526,194,0,221,0,2244
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Amazônia","em Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750,6199,4049,2550,11048,5499,4449,6049,4749,850,11298,19247,20246,5349,1550,550,650,8898,64339,26145,0,0,5749,450,14997,3448,46640,54988,100,40091
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Caatinga","em Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,412,292,29,793,0,10256,53,0,206
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Cerrado","em Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110128,531723,57149,101267,238302,411733,370412,140449,270560,252624,138532,210346,88578,151283,94788,68395,69043,55320,204710,125673,155140,105994,47713,35723,86128,16744,70010,43928,1638,55783
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Mata Atlântica","em Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96081,103786,66448,243327,311413,204392,184202,260151,223860,255128,175630,232087,192227,248372,273374,344185,391718,410091,426044,469644,443429,357840,455210,556677,1028083,128223,466003,308382,59507,626670
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pampa","em Área Protegida","Desmatamento","Floresta primária -- Silvicultura","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681,4010,1062,4159,1945,737,913,1504,30,2260,1070,1191,148,383,650,945,1477,2903,5269,4495,10111,5143,3386,4932,1758,713,12963,3775,0,355
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Amazônia","fora de Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561824649,684781124,832099487,702779332,930229263,1056200694,916582324,957501188,846361093,788177142,747105364,794097360,1074341029,1384862984,1154543997,1063709655,809095631,579940122,505787044,339240002,265659410,281429289,260408383,307713638,321419200,382912891,448781807,377273838,412391660,555803658
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Caatinga","fora de Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53357924,49319965,46988979,47491351,29573119,29616254,24235922,30199081,31776053,27291623,31503377,28926000,45645786,29884909,28356115,25141251,25399050,18264563,24485653,17116179,13964333,18996913,22218117,16229578,16207301,8528625,4251567,7297125,3086175,4700672
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Cerrado","fora de Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206966491,205181190,257455274,189131232,211688845,223361259,164899767,163791825,147493184,142631299,165122972,137588800,148147721,180285094,161367165,117484923,94642973,81663306,85162544,68377290,66830932,73862964,97335300,102744690,100010355,79742340,70788252,82136599,75956434,25658143
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Mata Atlântica","fora de Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156890681,121532777,122792405,110175244,106044614,100084817,93977889,91519021,83368957,83344985,84033368,67092036,67977968,81856531,59441029,49060705,46862646,37087367,40920740,30144805,29681589,26152072,29141504,34127116,29638223,29171882,32125752,38211748,25219899,20215537
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pampa","fora de Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4808574,4823212,3275827,3199107,2607318,3313277,2486053,2844717,2856101,2709449,2612206,2891565,2226751,3565574,3266254,1501014,2293408,901445,2128282,1436897,1543937,1691921,1764944,1810384,1749676,1365918,2217116,2588733,1232079,5015918
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pantanal","fora de Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8894232,8277909,11870946,9832468,10507765,12374693,10071358,9463489,10259737,13570221,11012219,10051305,11297003,11802498,9978157,8990575,6274668,5249125,4850844,4572370,4900423,3536089,3807177,3924644,3431430,3335473,4119895,3887825,4322004,4468918
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Amazônia","em Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15934742,5239431,15680777,26112828,13013353,14372844,13653513,17651699,20121489,25542136,32880324,21694326,22921167,38518187,33675438,36678629,40497440,60488334,54766679,42706952,35677131,39911378,32046968,33815968,37451394,47428860,66655331,55656500,68993951,139221337
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Caatinga","em Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95251,77856,73743,76836,121700,53530,272619,327974,797762,951023,1123094,789475,2449008,1111545,1314154,895330,970776,643582,1021302,885986,924581,1122133,1284635,1041951,1155216,688834,222672,375216,132823,163879
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Cerrado","em Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829497,800528,749929,705830,788642,904862,1110480,1300783,2902688,4421710,4726344,4266105,4977461,5657907,4522751,4218378,4155688,3599554,4329661,3754376,3033723,3782701,5464645,7572517,7184372,5933829,5167063,6381382,6252269,2364472
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Mata Atlântica","em Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430351,2219325,2419447,2662792,3188113,3492208,3266528,2893279,3469828,3370141,3250092,2752584,2813531,3270059,2884080,2610695,2509914,2122319,2147639,1795556,1970728,1922404,2120465,2555945,1893969,1977020,2114748,3263545,1985103,1615216
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pampa","em Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7435,7858,5447,3106,2659,6691,82783,3287,15286,42139,56494,69462,49702,340911,96183,48557,34099,79535,53577,50961,31796,58565,184780,55965,110234,24352,62123,52386,13444,104634
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Pantanal","em Área Protegida","Desmatamento","Floresta primária -- Uso agropecuário","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46616,44881,263464,154839,132703,187019,248039,116077,135252,179553,56544,45953,96608,26333,24822,54501,32694,56232,84618,65555,33261,61693,39784,48781,21555,24265,49188,56390,174816,66758
"Mudança de Uso da Terra e Floresta","Alterações de Uso do Solo","Amazônia","fora de Área Protegida","Desmatamento","Floresta secundária -- Área sem vegetação","Emissão","CO2 (t)","BR","AGROPEC","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10255,10409,7642,19848,18219,24438,16307,27074,23405,23222,25682,23481,26446,41312,71916,52282,43137,32156,48140,41669,56055,45046,43298,40016,40110,45245,14059
