Bioma;3;4;5;11;12;13;9;15;19;36;39;41;20;21;23;24;25;29;30;31;33
AMAZONIA;162.89;173.05;38.52;121.00;121.00;49.83;42.048;10.0;6.18;11.37;6.18;6.18;11.37;6.18;0;0;0;0;0;0;0
CERRADO;NA;39.99;38.26;24.75;24.75;49.83;42.048;7.57;5;21;5;5;21;5.00;0;0;0;0;0;0;0
CAATINGA;101.88;19.87;170.54;12.83;12.83;49.83;42.048;1.19;0.56;24.8;0.56;0.56;24.8;0.56;0;0;0;0;0;0;0
MATA_ATLANTICA;127.81;48.25;83.05;13.89;13.89;49.83;42.048;2.6;3.83;23.52;3.83;3.83;23.52;3.83;0;0;0;0;0;0;0
PAMPA;115.03;NA;NA;12.77;4.56;49.83;42.048;7.57;5;21;5;5;21;5.00;0;0;0;0;0;0;0
PANTANAL;98.10;37.53;NA;24.01;24.01;49.83;42.048;7.57;5;21;5;5;21;5.00;0;0;0;0;0;0;0
